ticker,ex_date,amount
DJIA,2024-07-22,0.149
DJIA,2024-08-19,0.114
DJIA,2024-09-23,0.176
DJIA,2024-10-21,0.152
DJIA,2024-11-18,0.181
DJIA,2024-12-30,1.094
DJIA,2025-01-21,0.123
DJIA,2025-02-24,0.114
DJIA,2025-03-24,0.17
DJIA,2025-04-21,0.209
DJIA,2025-05-19,0.107
DJIA,2025-06-23,0.156
DJIA,2025-07-21,0.134
DJIA,2025-08-18,0.159
DJIA,2025-09-22,0.129
DJIA,2025-10-20,0.22
DJIA,2025-11-24,0.223
DJIA,2025-12-22,0.117
DJIA,2025-12-30,0.471
DJIA,2026-01-20,0.169
DJIA,2026-02-23,0.109
DJIA,2026-03-23,0.209
DJIA,2026-04-20,0.131
DJIA,2026-05-18,0.149
EGGY,2025-01-30,0.832
EGGY,2025-02-27,0.946
EGGY,2025-03-28,0.726
EGGY,2025-04-29,0.728
EGGY,2025-05-29,0.776
EGGY,2025-06-27,0.816
EGGY,2025-07-30,0.834
EGGY,2025-08-28,0.806
EGGY,2025-09-29,0.834
EGGY,2025-10-30,0.872
EGGY,2025-11-26,0.87
EGGY,2025-12-30,0.87
EGGY,2026-01-29,0.87
EGGY,2026-02-26,1.0
EGGY,2026-03-30,1.0
EGGY,2026-04-29,1.0
EGGY,2026-05-28,1.1
EIPI,2024-05-21,0.125
EIPI,2024-06-27,0.125
EIPI,2024-07-23,0.125
EIPI,2024-08-21,0.125
EIPI,2024-09-26,0.125
EIPI,2024-10-22,0.125
EIPI,2024-11-21,0.125
EIPI,2024-12-13,0.355
EIPI,2025-01-22,0.125
EIPI,2025-02-13,0.43
EIPI,2025-02-21,0.125
EIPI,2025-03-27,0.125
EIPI,2025-04-22,0.125
EIPI,2025-05-21,0.125
EIPI,2025-06-26,0.125
EIPI,2025-07-22,0.125
EIPI,2025-08-21,0.125
EIPI,2025-09-25,0.125
EIPI,2025-10-21,0.125
EIPI,2025-11-21,0.125
EIPI,2025-12-12,0.125
EIPI,2026-01-21,0.125
EIPI,2026-02-20,0.125
EIPI,2026-03-26,0.125
EIPI,2026-04-21,0.125
EIPI,2026-05-21,0.125
FBY,2023-09-08,0.282
FBY,2023-10-06,0.451
FBY,2023-11-08,0.482
FBY,2023-12-07,0.595
FBY,2024-01-05,0.987
FBY,2024-02-07,1.176
FBY,2024-03-06,1.179
FBY,2024-04-04,1.171
FBY,2024-05-06,0.898
FBY,2024-06-06,0.692
FBY,2024-07-05,0.703
FBY,2024-08-07,0.794
FBY,2024-09-06,0.534
FBY,2024-10-10,0.923
FBY,2024-11-07,0.836
FBY,2024-12-05,0.375
FBY,2025-01-03,0.444
FBY,2025-01-30,0.639
FBY,2025-02-27,0.477
FBY,2025-03-27,0.551
FBY,2025-04-24,0.522
FBY,2025-05-22,0.637
FBY,2025-06-20,0.536
FBY,2025-07-17,0.499
FBY,2025-08-14,0.624
FBY,2025-09-11,0.455
FBY,2025-10-09,0.307
FBY,2025-10-16,0.095
FBY,2025-10-23,0.137
FBY,2025-10-30,0.157
FBY,2025-11-06,0.131
FBY,2025-11-13,0.094
FBY,2025-11-20,0.09
FBY,2025-11-28,0.088
FBY,2025-12-04,0.25
FBY,2025-12-11,0.107
FBY,2025-12-18,0.076
FBY,2025-12-26,0.075
FBY,2026-01-02,0.061
FBY,2026-01-08,0.064
FBY,2026-01-15,0.058
FBY,2026-01-22,0.047
FBY,2026-01-29,0.063
FBY,2026-02-05,0.247
FBY,2026-02-12,0.078
FBY,2026-02-19,0.081
FBY,2026-02-26,0.068
FBY,2026-03-05,0.076
FBY,2026-03-12,0.075
FBY,2026-03-19,0.073
FBY,2026-03-26,0.068
FBY,2026-04-02,0.066
FBY,2026-04-09,0.071
FBY,2026-04-16,0.081
FBY,2026-04-23,0.101
FBY,2026-04-30,0.19
FBY,2026-05-07,0.083
FBY,2026-05-14,0.08
FBY,2026-05-21,0.079
FBY,2026-05-28,0.069
FBY,2026-06-04,0.072
FBY,2026-06-11,0.06
FEPI,2023-11-27,1.15
FEPI,2023-12-26,1.178
FEPI,2024-01-24,1.195
FEPI,2024-02-26,1.186
FEPI,2024-03-26,1.189
FEPI,2024-04-23,1.093
FEPI,2024-05-23,1.161
FEPI,2024-06-25,1.15
FEPI,2024-07-26,1.089
FEPI,2024-08-27,1.079
FEPI,2024-09-26,1.092
FEPI,2024-10-24,1.078
FEPI,2024-11-26,1.097
FEPI,2024-12-24,1.083
FEPI,2025-01-29,1.046
FEPI,2025-02-26,0.981
FEPI,2025-03-26,0.944
FEPI,2025-04-23,0.824
FEPI,2025-05-28,0.926
FEPI,2025-06-25,0.962
FEPI,2025-07-23,0.971
FEPI,2025-08-27,0.975
FEPI,2025-09-24,0.997
FEPI,2025-10-29,1.041
FEPI,2025-11-25,0.959
FEPI,2025-12-24,0.984
FEPI,2026-01-28,0.955
FEPI,2026-02-25,0.883
FEPI,2026-03-25,0.868
FEPI,2026-04-22,0.904
FEPI,2026-05-27,0.222
FEPI,2026-06-03,0.225
FEPI,2026-06-10,0.213
FTHI,2014-02-21,0.065
FTHI,2014-03-25,0.059
FTHI,2014-04-22,0.014
FTHI,2014-05-21,0.083
FTHI,2014-06-24,0.085
FTHI,2014-07-22,0.085
FTHI,2014-08-21,0.083
FTHI,2014-09-23,0.086
FTHI,2014-10-21,0.083
FTHI,2014-11-21,0.085
FTHI,2014-12-23,0.085
FTHI,2015-01-21,0.085
FTHI,2015-02-20,0.085
FTHI,2015-03-25,0.085
FTHI,2015-05-21,0.085
FTHI,2015-06-24,0.085
FTHI,2015-07-21,0.085
FTHI,2015-08-21,0.085
FTHI,2015-09-23,0.08
FTHI,2015-10-21,0.08
FTHI,2015-11-20,0.08
FTHI,2015-12-23,0.08
FTHI,2016-01-21,0.08
FTHI,2016-02-23,0.08
FTHI,2016-04-21,0.078
FTHI,2016-05-20,0.078
FTHI,2016-06-22,0.078
FTHI,2016-07-21,0.078
FTHI,2016-08-23,0.078
FTHI,2016-09-21,0.078
FTHI,2016-10-19,0.078
FTHI,2016-11-22,0.078
FTHI,2016-12-21,0.078
FTHI,2017-01-20,0.078
FTHI,2017-02-22,0.078
FTHI,2017-03-23,0.078
FTHI,2017-04-21,0.078
FTHI,2017-05-23,0.078
FTHI,2017-06-22,0.078
FTHI,2017-07-21,0.078
FTHI,2017-08-22,0.078
FTHI,2017-09-21,0.078
FTHI,2017-10-20,0.078
FTHI,2017-11-21,0.078
FTHI,2017-12-21,0.08
FTHI,2018-01-23,0.08
FTHI,2018-02-21,0.08
FTHI,2018-03-22,0.08
FTHI,2018-04-20,0.08
FTHI,2018-05-22,0.08
FTHI,2018-06-21,0.08
FTHI,2018-07-20,0.08
FTHI,2018-08-21,0.08
FTHI,2018-09-14,0.08
FTHI,2018-10-23,0.08
FTHI,2018-11-21,0.08
FTHI,2018-12-18,0.08
FTHI,2019-01-23,0.08
FTHI,2019-02-21,0.08
FTHI,2019-03-21,0.08
FTHI,2019-04-23,0.08
FTHI,2019-05-21,0.08
FTHI,2019-06-14,0.08
FTHI,2019-07-23,0.08
FTHI,2019-08-21,0.08
FTHI,2019-09-25,0.08
FTHI,2019-10-22,0.08
FTHI,2019-11-21,0.08
FTHI,2019-12-13,0.08
FTHI,2020-01-22,0.08
FTHI,2020-02-21,0.08
FTHI,2020-03-26,0.08
FTHI,2020-04-21,0.08
FTHI,2020-05-21,0.08
FTHI,2020-06-25,0.08
FTHI,2020-07-21,0.08
FTHI,2020-08-21,0.08
FTHI,2020-09-24,0.08
FTHI,2020-10-21,0.08
FTHI,2020-11-24,0.08
FTHI,2020-12-24,0.08
FTHI,2021-01-21,0.08
FTHI,2021-02-23,0.08
FTHI,2021-03-25,0.08
FTHI,2021-04-21,0.08
FTHI,2021-05-21,0.08
FTHI,2021-06-24,0.08
FTHI,2021-07-21,0.08
FTHI,2021-08-24,0.08
FTHI,2021-09-23,0.08
FTHI,2021-10-21,0.08
FTHI,2021-11-23,0.08
FTHI,2021-12-23,0.08
FTHI,2022-01-21,0.08
FTHI,2022-02-18,0.15
FTHI,2022-03-25,0.15
FTHI,2022-04-21,0.17
FTHI,2022-05-24,0.17
FTHI,2022-06-24,0.17
FTHI,2022-07-21,0.15
FTHI,2022-08-23,0.15
FTHI,2022-09-23,0.15
FTHI,2022-10-21,0.137
FTHI,2022-11-22,0.137
FTHI,2022-12-23,0.137
FTHI,2023-01-24,0.145
FTHI,2023-02-22,0.145
FTHI,2023-03-24,0.145
FTHI,2023-04-21,0.151
FTHI,2023-05-23,0.151
FTHI,2023-06-27,0.151
FTHI,2023-07-21,0.157
FTHI,2023-08-22,0.157
FTHI,2023-09-22,0.157
FTHI,2023-10-24,0.152
FTHI,2023-11-21,0.152
FTHI,2023-12-22,0.152
FTHI,2024-01-23,0.16
FTHI,2024-02-21,0.16
FTHI,2024-03-21,0.16
FTHI,2024-04-23,0.168
FTHI,2024-05-21,0.168
FTHI,2024-06-27,0.168
FTHI,2024-07-23,0.168
FTHI,2024-08-21,0.168
FTHI,2024-09-26,0.168
FTHI,2024-10-22,0.172
FTHI,2024-11-21,0.172
FTHI,2024-12-13,0.172
FTHI,2025-01-22,0.174
FTHI,2025-02-21,0.174
FTHI,2025-03-27,0.174
FTHI,2025-04-22,0.163
FTHI,2025-05-21,0.163
FTHI,2025-06-26,0.163
FTHI,2025-07-22,0.171
FTHI,2025-08-21,0.171
FTHI,2025-09-25,0.171
